490,19,3
492,22,3
494,13,3
496,13,2
498,23,3
500,13,2
502,15,2
504,27,3
506,15,3
508,14,2
510,32,4
512,11,1
514,14,2
516,23,3
518,11,3
520,17,3
522,24,3
524,11,2
526,15,2
528,25,3
530,14,3
532,17,3
534,22,3
536,13,2
538,14,2
540,30,3
542,10,2
544,13,2
546,30,4
548,11,2
550,19,3
552,23,3
554,11,2
556,11,2
558,23,3
560,18,3
562,14,2
564,24,3
566,13,2
568,13,2
570,31,4
572,11,3
574,16,3
576,26,2
578,12,2
580,19,3
582,25,3
584,12,2
586,13,2
588,29,3
590,16,3
592,15,2
594,27,3
596,12,2
598,15,3
600,32,3
602,12,3
604,14,2
606,27,3
608,13,2
610,20,3
612,26,3
614,15,2
616,19,3
618,26,3
620,18,3
622,17,2
624,31,3
626,12,2
628,16,2
630,41,4
632,10,2
634,14,2
636,28,3
638,15,3
640,18,2
642,25,3
644,17,3
646,16,3
648,27,2
650,21,3
652,15,2
654,29,3
656,13,2
658,19,3
660,41,4
662,14,2
664,16,2
666,31,3
668,11,2
670,21,3
672,33,3
674,15,2
676,17,2
678,28,3
680,21,3
682,16,3
684,30,3
686,16,2
688,16,2
690,39,4
692,11,2
694,19,2
696,30,3
698,14,2
700,24,3
702,31,3
704,18,2
706,19,2
708,24,3
710,16,3
712,17,2
714,37,4
716,14,2
718,15,2
720,39,3
722,14,2
724,15,2
726,31,3
728,15,3
730,21,3
732,31,3
734,15,2
736,19,2
738,29,3
740,18,3
742,19,3
744,31,3
746,18,2
748,19,3
750,39,3
752,14,2
754,17,3
756,35,3
758,15,2
760,21,3
762,30,3
764,17,2
766,17,2
768,31,2
770,26,4
772,18,2
774,32,3
776,16,2
778,15,2
780,44,4
782,14,3
784,18,2
786,30,3
788,15,2
790,22,3
792,34,3
794,17,2
796,14,2
798,38,4
800,21,2
802,16,2
804,32,3
806,16,3
808,14,2
810,39,3
812,18,3
814,20,3
816,34,3
818,17,2
820,20,3
822,29,3
824,16,2
826,21,3
828,34,3
830,22,3
832,22,2
834,33,3
836,18,3
838,17,2
840,51,4
842,18,2
844,17,2
846,32,3
848,15,2
850,25,3
852,31,3
854,20,3
856,19,2
858,39,4
860,18,3
862,17,2
864,33,2
866,17,2
868,21,3
870,46,4
872,18,2
874,19,3
876,36,3
878,14,2
880,25,3
882,39,3
884,21,3
886,18,2
888,37,3
890,23,3
892,19,2
894,34,3
896,20,2
898,19,2
900,48,3
902,15,3
904,17,2
906,34,3
908,15,2
910,31,4
912,31,3
914,20,2
916,18,2
918,35,3
920,23,3
922,20,2
924,47,4
926,18,2
928,18,2
930,43,4
932,17,2
934,20,2
936,36,3
938,18,3
940,24,3
942,34,3
944,18,2
946,20,3
948,33,3
950,25,3
952,23,3
954,37,3
956,19,2
958,22,2
960,45,3
962,16,3
964,18,2
966,45,4
968,17,2
970,27,3
972,32,2
974,17,2
976,19,2
978,35,3
980,26,3
982,17,2
984,39,3
986,20,3
988,23,3
990,52,4
992,13,2
994,25,3
996,37,3
998,17,2
1000,28,2
